Bootstrap Iter,dGN,dGR,dGC,dGinter,mi,redchi**2,bestchi**2
1,5.47820105091605,4.594815136438479,7.06691124452838,-11.616788799871893,-0.7722781696312039,0.00013474847318250337,0.056863855683016426
2,5.45046695150494,4.56509694656737,7.050362546199504,-11.595969206220904,-0.7748781554761547,0.0001330239470819041,0.05613610566856353
3,5.484211222481258,4.586912312092461,7.0664690192745,-11.637419895372465,-0.7766442994801536,0.00011454400350563302,0.04833756947937713
4,5.453274521048239,4.562614831154878,7.030624175344589,-11.602757220660136,-0.7776684382543997,0.0001787290621019808,0.07542366420703589
5,5.5211088424600065,4.619405816145569,7.104093883449371,-11.700087932974029,-0.7791138662864886,0.0001574667151987999,0.06645095381389356
6,5.634981687424483,4.71913903993989,7.227101149147873,-11.935127854079695,-0.7939388037865955,0.0001285141173938835,0.05423295754021884
7,5.453163705377064,4.5675632181372245,7.056370481885856,-11.615269892482525,-0.7774761871565082,0.00013915483341924136,0.058723339702919854
8,5.53625171119734,4.616604557968917,7.120597583601405,-11.70226265312285,-0.7788798945630069,0.00010023480368082315,0.042299087153307366
9,5.529235566142146,4.638180035157762,7.066460980107657,-11.700110381819664,-0.7777232415760689,0.00016319259573345686,0.0688672753995188
10,5.469257080296571,4.573176682575718,7.075119612368556,-11.661301772332221,-0.7817309537095968,0.00011245887836752841,0.04745764667109699
11,5.454307719999218,4.574027239699394,7.049272311230338,-11.644238419168488,-0.7809335219989072,0.00014108470282033546,0.05953774459018157
12,5.469860611770613,4.543573697339805,7.059537222230557,-11.59718667388394,-0.7766439959963035,0.0001510550238575523,0.06374522006788708
13,5.431768224474584,4.561600456131158,7.0152946335528625,-11.569947213613027,-0.7724664464919155,0.00014370826089146524,0.060644886096198336
14,5.648529885890282,4.734310293943819,7.252192654032703,-11.977840746915199,-0.7981639060356588,0.00014326931301229497,0.06045965009118848
15,5.493186685007003,4.608117952462891,7.078913375369276,-11.673830933837777,-0.7786258376609447,0.00017025005866289853,0.07184552475574318
16,5.555151216949594,4.643760929932944,7.1527962211377245,-11.788889610700886,-0.7876861034885042,0.00019254049781460285,0.0812520900777624
17,5.467867635486594,4.578585230294517,7.04553311925293,-11.608634997278774,-0.7741036688030845,0.00014799608361790474,0.0624543472867558
18,5.424488240978432,4.561772771167143,6.9923996688860495,-11.540161786848545,-0.7689930815462962,0.0001441204960784452,0.06081884934510387
19,5.439700982229116,4.548438232151586,7.016292735728353,-11.58701687550498,-0.7763835945762594,0.0001401335226944842,0.059136346577072334
20,5.350208461935162,4.474503624963295,6.907372675841942,-11.391537023185977,-0.763275678225951,0.00015048321532813087,0.06350391686847123
21,5.511110292375246,4.61094539927667,7.099697236498247,-11.720605840972855,-0.7837966462550179,0.00016286339515494781,0.06872835275538798
22,5.600093828062991,4.680103966612674,7.165637918795372,-11.844248382512227,-0.7890061788743966,0.0001620102670593167,0.06836833269903164
23,5.47577424469548,4.605887564748087,7.075532344129686,-11.655748966818189,-0.7765353481336774,0.00013752742673107623,0.05803657408051417
24,5.469947696297976,4.576375696195244,7.067837861692429,-11.628672279826173,-0.7762417016802108,0.0001717782736945209,0.07249043149908782
25,5.37918494291043,4.521434446846385,7.00565693753003,-11.529264107519486,-0.7742916065962929,0.00018897559816127745,0.07974770242405908
26,5.472310609313368,4.611772239933884,7.068184990562009,-11.673022350095893,-0.7792574570542018,0.00012689045539666265,0.053547772177391637
27,5.376004585867531,4.489551177483421,6.935060101921524,-11.433261396460018,-0.7660563183829581,0.00015057138027941444,0.0635411224779129
28,5.4206850059807214,4.564570532142904,7.032716782530595,-11.581535965481235,-0.7734307248577048,0.0001672639942521328,0.07058540557440003
29,5.465477348124476,4.536300393538332,7.065274979380742,-11.61121373583934,-0.7795667680186652,0.00016025880768082067,0.06762921684130632
30,5.470881187415452,4.591263051063613,7.069494587016335,-11.674362576051339,-0.7816465286808765,0.00013255069149928985,0.05593639181270031
31,5.418270268630268,4.501678199434132,7.039030743931658,-11.540171376565635,-0.7769402178364008,0.000141563532411429,0.05973981067762304
32,5.453747718829673,4.559866859138349,7.06239240762447,-11.628165203031452,-0.7799257291398246,0.00016187289297560502,0.06831036083570532
33,5.432332126387847,4.559128110190528,7.037008593376249,-11.585541862417431,-0.7747883102535215,0.00013295161575423769,0.0561055818482883
34,5.469496498447358,4.590533343778567,7.052171362497324,-11.623351695475984,-0.7744929035794653,0.00015139436506374983,0.06388842205690243
35,5.459919499380727,4.561534602463878,7.035300406185185,-11.611336486637446,-0.7783564972770435,0.00013814867201454763,0.05829873959013909
36,5.539414668552635,4.64480173878176,7.1666203371399835,-11.813651299446901,-0.790899900337636,0.00012364383310323185,0.052177697569563836
37,5.4874397275816795,4.593384473438727,7.0642143341604005,-11.63769937141707,-0.7752016803745531,0.00014447123212978446,0.06096685995876905
38,5.416089229536659,4.5257790153334625,6.982722879600785,-11.514709243857432,-0.7712640100677275,0.00014532383502556184,0.0613266583807871
39,5.463638071484689,4.620821178952069,7.051296203021843,-11.629690440144287,-0.7715723073977846,0.00017674348385785912,0.07458575018801655
40,5.481639581935817,4.565987541059415,7.042304763495326,-11.600095635150238,-0.7755131375169464,0.00013286376168752874,0.05606850743213713
41,5.407722913605615,4.522109199921861,6.937004413804496,-11.494828795353836,-0.7688570275591169,0.00012170200216627396,0.051358244914167614
42,5.498865048886922,4.61863281199555,7.086131169310537,-11.684967036763407,-0.7786477700927676,0.00015196928543575344,0.06413103845388796
43,5.600496126266439,4.699546312295999,7.1989573110487965,-11.881424455358664,-0.7900510357510415,0.00014853964553447383,0.06268373041554795
44,5.4804491409601415,4.59850918615965,7.055667640515636,-11.661958674275635,-0.7785632129562975,0.00014580084930909248,0.06152795840843702
45,5.435684912668717,4.547337010158225,7.030929738362476,-11.58874289129901,-0.7777342289495435,0.00013068816439659484,0.055150405375363025
46,5.52060872886676,4.598773485220553,7.10117076272157,-11.72191542841482,-0.7862439027369498,0.00015122843338321896,0.0638183988877184
47,5.4756433244170335,4.577518886644619,7.06291384185996,-11.645887256044926,-0.7793298552884672,0.00016739895887522206,0.07064236064534371
48,5.450220815240323,4.572784197558877,7.019017663211876,-11.554117701522825,-0.7679195409231145,0.00013983984395810487,0.059012414150320255
49,5.500245982102843,4.6052457582008754,7.072466228217656,-11.642192439545388,-0.7739903612947563,0.0001565089241736495,0.0660467660012801
50,5.492841349865484,4.590411311432785,7.110056787652268,-11.713388598780222,-0.7871052212452623,0.0001505136183766933,0.06351674695496456
51,5.398089714074317,4.467520183429567,6.988255130108726,-11.493432339910743,-0.7764774084946131,0.00013249331363127958,0.05591217835239998
52,5.385218677488034,4.532260033777558,6.936141009726901,-11.472282016370071,-0.7653090593825339,0.00016595797063222593,0.07003426360679935
53,5.423173545211712,4.515286529158937,7.004218338523815,-11.551205118277716,-0.7769845465215618,0.00017949976357208516,0.07574890022741994
54,5.565459070354543,4.637042036071266,7.1450149284755495,-11.780758319060356,-0.7861135534814647,0.00013255857663094968,0.055939719338260765
55,5.524458552598543,4.617219888189794,7.1392038560541495,-11.745846568453501,-0.7857348021294397,0.00015171886945352132,0.064025362909386
56,5.449005933098691,4.546242392276519,7.028930747286305,-11.580460958454765,-0.7757080220733001,0.00014224698087464668,0.0600282259291009
57,5.448369171963091,4.559573888819713,7.037184701406408,-11.570609985529499,-0.7724032704891034,0.00015448181583924971,0.06519132628416338
58,5.573724607184452,4.638327149451708,7.117898972517823,-11.795131481741777,-0.7886193676751374,0.000170993410622801,0.07215921928282201
59,5.453958183397099,4.555335186229383,7.033781754953578,-11.59826940319296,-0.7765598789940681,0.0001438412868808723,0.06070102306372811
60,5.438876731962662,4.56051446191781,7.012893042397773,-11.558971407016061,-0.7708760917122601,0.00014049076036904939,0.05928710087573884
61,5.432110048798767,4.520616938638861,7.010980973429655,-11.549680883075409,-0.7756342537761932,0.00014122220918077555,0.059595772274287286
62,5.425331675388483,4.536431057013861,6.996109787232195,-11.552328119672088,-0.7749428628722779,0.00016022153206954012,0.06761348653334592
63,5.4599134207792615,4.560374940064723,7.0244130745780815,-11.583166057285736,-0.7733611914851265,0.00012274438589083888,0.05179813084593401
64,5.524200035583672,4.607849885525363,7.116430624991424,-11.734622678416176,-0.786502879910859,0.00014663967453517091,0.06188194265384213
65,5.409006836140024,4.528281061142653,6.985720765496363,-11.520514063261839,-0.7711616195007488,0.00014200832737698338,0.05992751415308699
66,5.448636277910448,4.570071869097099,7.044307946151359,-11.635302208396565,-0.7798387806130261,0.00015362511264834557,0.06482979753760183
67,5.400574951812066,4.544794255041436,7.000049508111933,-11.509971319322526,-0.7670701695170108,0.00013597984636276605,0.05738349516508728
68,5.574289333518257,4.6613054686901165,7.162870300472585,-11.825463792788272,-0.7890956592563476,0.00014355348434822135,0.06057957039494941
69,5.481265777524798,4.55834683372371,7.043770365009584,-11.629873655127808,-0.7800279079718341,0.0001476967507639324,0.062328028822379464
70,5.534314896543164,4.628077835998284,7.121968186496133,-11.718072526560485,-0.7797240791546725,0.0001302192701137163,0.05495253198798827
71,5.524392040283079,4.604904203569435,7.112748897482629,-11.730191446430071,-0.7854856771888318,0.0001259855643127298,0.053165908139971976
72,5.488681063153903,4.595036441516768,7.0600346359508865,-11.657181318617406,-0.7783224768760435,0.00016142362520445318,0.06812076983627924
73,5.6215850822955655,4.72293897894676,7.215594307389835,-11.914701943391693,-0.791066142117575,0.00014654194879093726,0.06184070238977552
74,5.381198976679252,4.5400009986747945,6.9748788050750505,-11.533596210742028,-0.7722579616552635,0.00017010013187438258,0.07178225565098945
75,5.5040555100076345,4.577190747953409,7.0846321881277605,-11.684427102750872,-0.7844357630206173,0.00016279468742357863,0.06869935809275018
76,5.42781229640155,4.551452252005516,7.00343853470022,-11.564498864195793,-0.773002118109531,0.0001815033128398233,0.07659439801840542
77,5.48154864832333,4.589583855953863,7.097450748745118,-11.668416340650296,-0.7799528667631282,0.00011274623985134573,0.0475789132172679
78,5.501273563345592,4.592707072997141,7.111781566722538,-11.687828945463796,-0.7810806965909883,0.00011820694535133302,0.049883330938262534
79,5.3815631691080075,4.48042102987461,6.972261200611682,-11.49539596168212,-0.7757544340178475,0.00016451374561517746,0.06942480064960489
80,5.504894595107612,4.590930781230405,7.12275680923234,-11.715697920951797,-0.7852354577976303,0.00011931247315889822,0.05034986367305505
81,5.5260654477943385,4.609077556923559,7.078642939535243,-11.670227285135326,-0.7765084152349312,0.00018439900015512366,0.07781637806546218
82,5.634617154486807,4.719789378027841,7.245947253488422,-11.93914517095879,-0.7939196683399815,0.00019308353114981744,0.08148125014522296
83,5.450243998062279,4.551502997889961,7.02545163727142,-11.614165813541748,-0.7800128660212197,0.00013129997310110876,0.05540858864866789
84,5.415655994905443,4.547436128119707,6.986340742722127,-11.518966552125272,-0.7680589214223492,0.0001658406638844253,0.06998476015922747
85,5.451964470546005,4.568606228314164,7.0487152798983645,-11.629357232869182,-0.7791249047343347,0.0001482640559980145,0.06256743163116212
86,5.473622590213258,4.592602301781913,7.095237711357828,-11.69879719401966,-0.7852660223874255,0.00017522670427387124,0.07394566920357366
87,5.49417253370627,4.5882724915013915,7.0982491428443275,-11.654288615369817,-0.7780980400637081,0.0001750604010906474,0.0738754892602532
88,5.406927759180994,4.540266771333779,6.980109174631494,-11.531491417470741,-0.7711296860028066,0.000171037634864296,0.07217788191273292
89,5.404192758700173,4.537109780717218,6.982617901094677,-11.538255253373798,-0.7728362867660354,0.00014292011028148167,0.060312286538785266
90,5.4506398373336005,4.551516342757372,7.053834901808344,-11.611879981245846,-0.7793961459043308,0.00015242239990163702,0.06432225275849082
91,5.535311773658189,4.638848730901506,7.159102164063791,-11.754047904652598,-0.7825700250982429,0.00013922243839776784,0.05875186900385802
92,5.550378700278257,4.622383435995663,7.144096372805702,-11.784889126924082,-0.789958876927052,0.00013937459705454504,0.058816079957018014
93,5.519372032620062,4.5931322570374755,7.11531285666125,-11.697663059091532,-0.7818269679652105,0.0001450184745915565,0.06119779627763684
94,5.575008344126827,4.685620441320054,7.176344691424435,-11.843606080050085,-0.7878388283683854,0.00013320460309551425,0.05621234250630701
